Retired Coal Plants by Country (MW),,,,,,,,,,,,,,,,,,,,,,,,
"Global Coal Plant Tracker, January 2021",,,,,,,,,,,,,,,,,,,,,,,,
Global Energy Monitor,,source: https://docs.google.com/spreadsheets/d/1xUOYq8tUZi2dcHLRZ3W1viZHyGgUlbrMxG5xIXyTOug,,,,,,,,,,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Undated,Dated 2000-2020,All retired (includes dated and undated)
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,396,0,0,0,0,0,0,0,490,125,905,0,"1,301",590,760,"1,840",0,0,0,600,"6,407","7,007"
Austria,0,137,0,0,0,0,330,0,66,0,55,192,0,0,0,450,165,0,0,352,246,105,"1,993","2,098"
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,272,133,0,0,0,0,341,0,0,252,457,0,260,590,0,0,560,0,0,0,0,125,"2,865","2,990"
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,446,0,0,0,0,518,518
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,120,0,0,0,0,0,0,0,0,210,210,840,0,0,0,0,0,0,"1,380","1,380"
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,60,0,0,0,0,"2,658",0,0,0,0,"2,319",980,0,"3,086",162,0,0,0,665,149,380,0,"10,459","10,459"
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,248,0,573,573
China,386,100,350,0,228,50,562,"9,986","9,715","10,425","9,847","3,954","3,660","2,988","8,767","6,049","5,535","7,710","10,799","7,137","8,628","4,994","106,876","111,869"
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,30,0,0,0,630,0,0,0,420,0,0,200,"1,170",694,"2,450","3,144"
Democratic Republic of Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,262,0,70,0,0,0,0,143,326,0,266,0,305,0,"1,131",0,0,"1,057",263,0,"3,823","3,823"
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,35,0,0,78,0,0,0,0,0,0,80,"1,000",0,0,833,0,138,0,65,"2,164","2,229"
France,250,0,0,0,0,730,250,0,0,0,0,0,0,"1,585",516,"2,058",0,0,0,0,733,0,"6,122","6,122"
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,"1,230",585,522,421,90,510,0,0,0,0,0,746,"2,963","1,314","2,329","1,075",680,"3,350","1,052","1,245",320,519,"18,431","18,950"
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,70,250,0,33,0,0,550,0,0,600,600,0,"2,103","2,103"
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,0,0,0,500,500
Hungary,0,0,0,0,100,0,0,0,0,0,0,305,110,0,0,0,0,0,0,0,0,0,515,515
India,97,50,"1,000",150,0,0,0,314,120,120,"1,085",94,63,188,343,470,780,"3,480","2,009",795,"1,330",825,"12,486","13,311"
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,68,0,0,250,0,0,0,640,0,75,0,0,0,140,140,980,155,0,0,660,0,"3,108","3,108"
Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,530,0,0,397,85,0,405,0,30,31,0,0,0,0,0,0,270,250,440,285,0,"2,723","2,723"
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,110
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,0,0,0,0,0,0,65,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,190,190
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,195,195
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,774",0,"1,206",0,685,0,0,"3,665","3,665"
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,0,500,500
Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,52
Poland,0,0,0,200,0,0,0,100,72,340,200,225,744,446,380,293,240,600,0,570,"1,129",120,"5,539","5,659"
Portugal,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,330,0,200,0,50,0,210,150,0,730,100,0,0,960,0,0,"2,730","2,730"
Russia,150,0,0,0,110,0,0,0,0,0,0,0,0,670,0,688,600,0,30,"1,625","1,080",0,"4,953","4,953"
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,32
Slovakia,0,0,0,0,0,0,0,0,220,0,220,0,0,32,0,220,0,0,0,0,32,0,724,724
Slovenia,0,0,0,0,0,0,0,0,30,0,30,0,0,0,75,0,0,0,400,0,0,0,535,535
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,525,200,0,"1,120",0,"1,920","1,920"
Spain,0,0,0,0,0,0,80,753,68,0,0,160,796,590,0,254,531,0,365,250,"4,758",0,"8,605","8,605"
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,141,0,291,291
Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,400,0,0,0,0,600,0,600,0,0,634,0,0,0,0,"2,234","2,234"
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,825,825
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,"1,200",0,"1,000","2,075",0,0,0,67,0,0,0,"2,064","2,172","4,177","1,887",456,"5,317",240,"2,833","2,717","3,324",200,"29,529","29,729"
United States,141,35,704,"1,510",570,284,271,"2,814",847,"1,552","2,452","3,301","10,363","6,801","4,613","21,723","15,768","8,871","15,891","16,303","11,303",247,"126,116","126,363"
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,213,213
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
World Total,"4,060","1,638","4,234","4,391","1,935","4,317","2,307","14,913","12,008","12,894","17,832","12,396","23,991","23,189","22,778","37,809","34,402","30,605","34,744","36,147","37,751","8,686","374,341","383,026"
Outside India and China,"3,384","1,538","3,884","4,391","1,707","4,267","1,745","4,993","2,293","2,469","7,985","8,692","20,366","20,201","13,980","31,761","28,517","22,624","23,695","29,074","19,543","1,012","257,107","258,119"
India and China,386,100,350,0,228,50,562,"9,886","9,615","10,425","9,304","3,954","3,809","2,975","8,832","5,859","5,295","7,645","10,799","7,540","1,700","3,568","99,314","102,881"
